"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2020","0.23492","0.24372","0.26139","0.23250","36.11M","-3.61%"
"30.11.2020","0.24372","0.23591","0.24440","0.23011","21.90M","3.31%"
"29.11.2020","0.23591","0.22950","0.23610","0.22361","13.48M","2.79%"
"28.11.2020","0.22950","0.22501","0.23421","0.21662","19.40M","2.00%"
"27.11.2020","0.22501","0.22479","0.23030","0.21311","22.98M","0.18%"
"26.11.2020","0.22460","0.25671","0.26186","0.20861","69.56M","-12.51%"
"25.11.2020","0.25671","0.26121","0.28809","0.24792","53.44M","-1.72%"
"24.11.2020","0.26121","0.25501","0.27468","0.24185","63.86M","2.43%"
"23.11.2020","0.25501","0.22019","0.26419","0.21644","66.71M","15.81%"
"22.11.2020","0.22019","0.23398","0.23689","0.20734","37.13M","-5.90%"
"21.11.2020","0.23398","0.20251","0.23468","0.20145","50.21M","15.54%"
"20.11.2020","0.20251","0.19640","0.20401","0.19522","25.52M","3.11%"
"19.11.2020","0.19640","0.20002","0.20389","0.19462","20.81M","-1.81%"
"18.11.2020","0.20002","0.20502","0.20649","0.19130","21.88M","-2.44%"
"17.11.2020","0.20502","0.19760","0.20762","0.19741","22.12M","3.75%"
"16.11.2020","0.19760","0.19359","0.20051","0.19191","12.80M","1.97%"
"15.11.2020","0.19378","0.19660","0.20111","0.18872","15.31M","-1.43%"
"14.11.2020","0.19660","0.20261","0.20409","0.19331","12.30M","-2.96%"
"13.11.2020","0.20261","0.19580","0.20410","0.19491","9.62M","3.47%"
"12.11.2020","0.19580","0.19942","0.20626","0.19372","10.76M","-1.81%"
"11.11.2020","0.19942","0.20176","0.20777","0.19913","11.53M","-1.16%"
"10.11.2020","0.20176","0.19389","0.20634","0.19291","18.87M","4.06%"
"09.11.2020","0.19389","0.19842","0.19907","0.18902","14.64M","-2.28%"
"08.11.2020","0.19842","0.19242","0.20357","0.19033","15.06M","3.12%"
"07.11.2020","0.19242","0.20429","0.21110","0.18585","29.95M","-5.81%"
"06.11.2020","0.20429","0.19089","0.20500","0.18882","23.75M","7.02%"
"05.11.2020","0.19089","0.18531","0.19148","0.18112","12.19M","3.01%"
"04.11.2020","0.18531","0.18072","0.18540","0.17602","8.90M","2.54%"
"03.11.2020","0.18072","0.18341","0.18470","0.17535","10.17M","-1.46%"
"02.11.2020","0.18340","0.19070","0.19259","0.18163","8.04M","-3.82%"
"01.11.2020","0.19070","0.18531","0.19088","0.18393","5.72M","2.91%"
"31.10.2020","0.18531","0.18702","0.19039","0.18472","7.73M","-0.92%"
"30.10.2020","0.18702","0.18941","0.19046","0.17731","17.78M","-1.16%"
"29.10.2020","0.18922","0.19529","0.19878","0.18731","14.61M","-3.11%"
"28.10.2020","0.19529","0.21351","0.21361","0.18994","24.07M","-8.53%"
"27.10.2020","0.21351","0.21341","0.21609","0.20919","12.18M","0.04%"
"26.10.2020","0.21343","0.21500","0.22187","0.20904","11.73M","-0.73%"
